lat,lon,co,no,no2,o3,so2,pm2_5,pm10,nh3
17.195081936079006,78.51493934866946,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.5243524648926,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.53376558111576,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.5431786973389,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.55259181356206,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.56200492978522,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.57141804600836,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.58083116223152,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.59024427845466,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.59965739467782,93.93,0,3.94,46.3,3.79,1.24,2.06,2.73
17.195081936079006,78.60907051090098,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.195081936079006,78.61848362712412,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.195081936079006,78.62789674334728,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.195081936079006,78.63730985957042,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.195081936079006,78.64672297579358,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.195081936079006,78.65613609201672,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.195081936079006,78.66554920823988,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.195081936079006,78.67496232446304,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.195081936079006,78.68437544068618,92.76,0,3.76,48.08,3.98,1.35,2.11,2.43
17.20412565340858,78.27961144309066,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.28902455931382,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.29843767553696,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.30785079176012,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.31726390798327,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.32667702420642,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.33609014042958,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.34550325665272,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.35491637287588,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.36432948909902,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.37374260532218,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.38315572154534,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.39256883776848,94.71,0,4.14,47.61,4.42,1.36,2.25,3.16
17.20412565340858,78.40198195399164,93.16,0,4.08,49.63,4.82,1.54,2.37,2.88
17.20412565340858,78.41139507021478,93.16,0,4.08,49.63,4.82,1.54,2.37,2.88
17.20412565340858,78.42080818643794,93.16,0,4.08,49.63,4.82,1.54,2.37,2.88
17.20412565340858,78.4302213026611,93.16,0,4.08,49.63,4.82,1.54,2.37,2.88
17.20412565340858,78.43963441888424,93.16,0,4.08,49.63,4.82,1.54,2.37,2.88
